age_start,age_end,sex,race_ethnicity,born_in_us,state,household_emigration_rate
0,15,Female,Latino,0,19,0.002332650876977251
0,15,Female,Latino,0,20,0.001847867116394063
0,15,Female,Latino,0,21,0.00408524598330831
0,15,Female,Latino,0,22,0.0036643019452226554
0,15,Female,Latino,0,23,0.006325917556359753
0,15,Female,Latino,0,24,0.0029078643252944975
0,15,Female,Latino,0,25,0.0031808103794790194
0,15,Female,Latino,0,26,0.004573697212344094
0,15,Female,Latino,0,27,0.00283840870776216
0,15,Female,Latino,0,28,0.0016455530802668272
0,15,Female,Latino,0,29,0.0021365766188301727
0,15,Female,Latino,0,30,0.0032594439148563676
0,15,Female,Latino,0,31,0.0007173602194758938
0,15,Female,Latino,0,32,0.0011479897593392031
0,15,Female,Latino,0,33,0.005601500060080188
0,15,Female,Latino,0,34,0.000966929650759612
0,15,Female,Latino,0,35,0.000817397496535203
0,15,Female,Latino,0,36,0.0013484423450485154
0,15,Female,Latino,0,37,0.00297942132206065
0,15,Female,Latino,0,38,0.001371826397250768
0,15,Female,Latino,0,39,0.004687229721365478
0,15,Female,Latino,0,40,0.0013755798723214814
0,15,Female,Latino,0,41,0.0016919607301237969
0,15,Female,Latino,0,42,0.002751495093949585
0,15,Female,Latino,0,44,0.001933393572648231
0,15,Female,Latino,0,45,0.0011413777811741797
0,15,Female,Latino,0,46,0.001547542238435757
0,15,Female,Latino,0,47,0.0018287067970448345
0,15,Female,Latino,0,48,0.0015071775945407896
0,15,Female,Latino,0,49,0.003268724474268636
0,15,Female,Latino,0,50,0.001371826397250768
0,15,Female,Latino,0,51,0.0018535008725434475
0,15,Female,Latino,0,53,0.0027838733556653935
0,15,Female,Latino,0,54,0.037545947815061695
0,15,Female,Latino,0,55,0.0028104263439268254
0,15,Female,Latino,0,56,0.035996105950914854
0,15,Female,Latino,1,1,2.5427216516748963e-05
0,15,Female,Latino,1,2,1.847762897168593e-05
0,15,Female,Latino,1,4,1.92101879879033e-05
0,15,Female,Latino,1,5,1.0299300558259964e-05
0,15,Female,Latino,1,6,8.74515506317165e-06
0,15,Female,Latino,1,8,3.504542002134547e-05
0,15,Female,Latino,1,9,1.1250765617399822e-05
0,15,Female,Latino,1,10,3.3056019518228285e-05
0,15,Female,Latino,1,11,0.0002749859487394289
0,15,Female,Latino,1,12,4.200005011705981e-05
0,15,Female,Latino,1,13,2.3248302715922873e-05
0,15,Female,Latino,1,15,5.3435430364081075e-05
0,15,Female,Latino,1,16,7.794556737086051e-06
0,15,Female,Latino,1,17,1.4072239444235119e-05
0,15,Female,Latino,1,18,2.8377256717550425e-05
0,15,Female,Latino,1,19,1.7076117661547606e-05
0,15,Female,Latino,1,20,3.553911264348564e-05
0,15,Female,Latino,1,21,2.6250398319122644e-05
0,15,Female,Latino,1,22,2.630220577875901e-05
0,15,Female,Latino,1,23,5.967941534675432e-05
0,15,Female,Latino,1,24,3.085933196261493e-05
0,15,Female,Latino,1,25,3.7308124120833236e-05
0,15,Female,Latino,1,26,4.467493480614076e-05
0,15,Female,Latino,1,27,5.870599668246075e-05
0,15,Female,Latino,1,28,2.487091065051107e-05
0,15,Female,Latino,1,29,0.00014927088574253006
0,15,Female,Latino,1,30,0.0006633146565230679
0,15,Female,Latino,1,31,1.1404509624688198e-05
0,15,Female,Latino,1,32,9.621276528209607e-06
0,15,Female,Latino,1,33,3.645811443426825e-05
0,15,Female,Latino,1,34,1.4600935560991727e-05
0,15,Female,Latino,1,35,5.7782911932463705e-06
0,15,Female,Latino,1,36,2.1401279419327158e-05
0,15,Female,Latino,1,37,3.199984225556441e-05
0,15,Female,Latino,1,38,5.02302132590343e-05
0,15,Female,Latino,1,39,3.4908797126300716e-05
0,15,Female,Latino,1,40,1.2166396580467108e-05
0,15,Female,Latino,1,41,1.4672883415350327e-05
0,15,Female,Latino,1,42,3.43841183021942e-05
0,15,Female,Latino,1,44,2.0898601713774132e-05
0,15,Female,Latino,1,45,2.3499011136262942e-05
0,15,Female,Latino,1,46,2.125322530004624e-05
0,15,Female,Latino,1,47,2.2872495462511642e-05
0,15,Female,Latino,1,48,1.4786837992684198e-05
0,15,Female,Latino,1,49,1.121121095722671e-05
0,15,Female,Latino,1,50,0.00012227897320913863
0,15,Female,Latino,1,51,6.709489417744107e-05
0,15,Female,Latino,1,53,2.4212180782074397e-05
0,15,Female,Latino,1,54,6.906677787931133e-05
0,15,Female,Latino,1,55,1.593844749641724e-05
0,15,Female,Latino,1,56,7.622901473275108e-06
0,15,Female,Multiracial or Other,0,1,0.009118949952599585
0,15,Female,Multiracial or Other,0,2,0.001371826397250768
0,15,Female,Multiracial or Other,0,4,0.0033939319538547974
0,15,Female,Multiracial or Other,0,5,0.001799451924307215
0,15,Female,Multiracial or Other,0,6,0.004812874060113126
0,15,Female,Multiracial or Other,0,8,0.009464552304772379
0,15,Female,Multiracial or Other,0,9,0.002994693397223248
0,15,Female,Multiracial or Other,0,10,0.001371826397250768
0,15,Female,Multiracial or Other,0,11,0.001371826397250768
0,15,Female,Multiracial or Other,0,12,0.0026677186126771025
0,15,Female,Multiracial or Other,0,13,0.0023330692998407418
0,15,Female,Multiracial or Other,0,15,0.0073991449754730225
0,15,Female,Multiracial or Other,0,16,0.003830412283320621
0,15,Female,Multiracial or Other,0,17,0.0048203606920825546
0,15,Female,Multiracial or Other,0,18,0.0024258034557660484
0,15,Female,Multiracial or Other,0,19,0.008850325817017161
0,15,Female,Multiracial or Other,0,20,0.004623324394502063
0,15,Female,Multiracial or Other,0,21,0.0015251168764154168
0,15,Female,Multiracial or Other,0,22,0.010277690324737727
0,15,Female,Multiracial or Other,0,23,0.001371826397250768
0,15,Female,Multiracial or Other,0,24,0.002499896478176799
0,15,Female,Multiracial or Other,0,25,0.004778759424348148
0,15,Female,Multiracial or Other,0,26,0.0017416238871311932
0,15,Female,Multiracial or Other,0,27,0.002123351339836519
0,15,Female,Multiracial or Other,0,28,0.002797528497708382
0,15,Female,Multiracial or Other,0,29,0.002218329389792427
0,15,Female,Multiracial or Other,0,30,0.030525439427078176
0,15,Female,Multiracial or Other,0,31,0.001371826397250768
0,15,Female,Multiracial or Other,0,32,0.0012743113101871023
0,15,Female,Multiracial or Other,0,33,0.0031532408810061785
0,15,Female,Multiracial or Other,0,34,0.002210708115905473
0,15,Female,Multiracial or Other,0,35,0.001371826397250768
0,15,Female,Multiracial or Other,0,36,0.0014590047152620235
0,15,Female,Multiracial or Other,0,37,0.006756542740993103
0,15,Female,Multiracial or Other,0,38,0.001371826397250768
0,15,Female,Multiracial or Other,0,39,0.0069563668462160515
0,15,Female,Multiracial or Other,0,40,0.004152744344333145
0,15,Female,Multiracial or Other,0,41,0.006422180712162256
0,15,Female,Multiracial or Other,0,42,0.007778898085252777
0,15,Female,Multiracial or Other,0,44,0.0020055810921071125
0,15,Female,Multiracial or Other,0,45,0.0044458973339738484
0,15,Female,Multiracial or Other,0,46,0.001371826397250768
0,15,Female,Multiracial or Other,0,47,0.003142418565134197
0,15,Female,Multiracial or Other,0,48,0.007180126589872634
0,15,Female,Multiracial or Other,0,49,0.0036669190761057166
0,15,Female,Multiracial or Other,0,50,0.001371826397250768
0,15,Female,Multiracial or Other,0,51,0.00678186602864225
0,15,Female,Multiracial or Other,0,53,0.0014985412563574094
0,15,Female,Multiracial or Other,0,54,0.012417270588786628
0,15,Female,Multiracial or Other,0,55,0.002471233731174594
0,15,Female,Multiracial or Other,0,56,0.008642981562364477
0,15,Female,Multiracial or Other,1,1,3.732392818912278e-05
0,15,Female,Multiracial or Other,1,2,4.200063800062755e-05
0,15,Female,Multiracial or Other,1,4,4.4096624296656837e-05
0,15,Female,Multiracial or Other,1,5,3.374901610818527e-05
0,15,Female,Multiracial or Other,1,6,5.581018925409891e-05
0,15,Female,Multiracial or Other,1,8,3.4692582754080505e-05
0,15,Female,Multiracial or Other,1,9,3.262247846075168e-05
0,15,Female,Multiracial or Other,1,10,2.8620625031889408e-05
0,15,Female,Multiracial or Other,1,11,0.000192648203113097
0,15,Female,Multiracial or Other,1,12,6.87440876837908e-05
0,15,Female,Multiracial or Other,1,13,0.0001137089214922683
0,15,Female,Multiracial or Other,1,15,9.450751162522849e-05
0,15,Female,Multiracial or Other,1,16,3.2530537507274775e-05
0,15,Female,Multiracial or Other,1,17,4.414925723144754e-05
0,15,Female,Multiracial or Other,1,18,5.7115683932290316e-05
0,15,Female,Multiracial or Other,1,19,7.143671054847998e-05
0,15,Female,Multiracial or Other,1,20,3.125689325564566e-05
0,15,Female,Multiracial or Other,1,21,2.21595486434817e-05
0,15,Female,Multiracial or Other,1,22,3.059891303008177e-05
0,15,Female,Multiracial or Other,1,23,2.6027343420023142e-05
0,15,Female,Multiracial or Other,1,24,0.00018933288658404935
0,15,Female,Multiracial or Other,1,25,8.50030345530077e-05
0,15,Female,Multiracial or Other,1,26,4.358828147338255e-05
0,15,Female,Multiracial or Other,1,27,4.856950636362142e-05
0,15,Female,Multiracial or Other,1,28,2.7457683927474534e-05
0,15,Female,Multiracial or Other,1,29,3.586707741137138e-05
0,15,Female,Multiracial or Other,1,30,2.732274183866587e-05
0,15,Female,Multiracial or Other,1,31,3.530026969500833e-05
0,15,Female,Multiracial or Other,1,32,2.23631193095574e-05
0,15,Female,Multiracial or Other,1,33,4.118722885290989e-05
0,15,Female,Multiracial or Other,1,34,4.7626548025047415e-05
0,15,Female,Multiracial or Other,1,35,0.00199599647517948
0,15,Female,Multiracial or Other,1,36,5.2184958837926904e-05
0,15,Female,Multiracial or Other,1,37,3.9882275851384793e-05
0,15,Female,Multiracial or Other,1,38,3.8850496482145586e-05
0,15,Female,Multiracial or Other,1,39,8.027491619882109e-05
0,15,Female,Multiracial or Other,1,40,1.1934441705006812e-05
