age_start,age_end,sex,race_ethnicity,born_in_us,state,gq_person_emigration_rate
0,15,Female,Latino,0,1,0.002238782105986446
0,15,Female,Latino,0,2,0.009108681737887526
0,15,Female,Latino,0,4,0.003684444199583453
0,15,Female,Latino,0,5,0.02028684798770909
0,15,Female,Latino,0,6,0.0056321014791753405
0,15,Female,Latino,0,8,0.004396826037381192
0,15,Female,Latino,0,9,0.0030432100364002766
0,15,Female,Latino,0,10,0.0010502565072632907
0,15,Female,Latino,0,11,0.01595286009492863
0,15,Female,Latino,0,12,0.004779515970151542
0,15,Female,Latino,0,13,0.0033688913962834615
0,15,Female,Latino,0,15,0.008513083927770303
0,15,Female,Latino,0,16,0.0036284803745795825
0,15,Female,Latino,0,17,0.0030166338078190073
0,15,Female,Latino,0,18,0.004439659836923432
0,15,Female,Latino,0,19,0.004317520583305866
0,15,Female,Latino,0,20,0.003124531210962465
0,15,Female,Latino,0,21,0.006144945847986846
0,15,Female,Latino,0,22,0.0037802013021933836
0,15,Female,Latino,0,23,0.0060334366973497115
0,15,Female,Latino,0,24,0.0016882474906120587
0,15,Female,Latino,0,25,0.009021163252282235
0,15,Female,Latino,0,26,0.004014597234025414
0,15,Female,Latino,0,27,0.011104184148422121
0,15,Female,Latino,0,28,0.006546945442653811
0,15,Female,Latino,0,29,0.0031917516587830143
0,15,Female,Latino,0,30,0.009995147508675977
0,15,Female,Latino,0,31,0.002880149085351162
0,15,Female,Latino,0,32,0.0007168314320689672
0,15,Female,Latino,0,33,0.007088486331082714
0,15,Female,Latino,0,34,0.0011699975265196593
0,15,Female,Latino,0,35,0.017772801617805804
0,15,Female,Latino,0,36,0.008951979782835096
0,15,Female,Latino,0,37,0.004396927142929412
0,15,Female,Latino,0,38,0.008688972443467325
0,15,Female,Latino,0,39,0.004016601085531785
0,15,Female,Latino,0,40,0.0034171359178515
0,15,Female,Latino,0,41,0.0055763293502898645
0,15,Female,Latino,0,42,0.004148656723720753
0,15,Female,Latino,0,44,0.004491189450449024
0,15,Female,Latino,0,45,0.002084179200966824
0,15,Female,Latino,0,46,0.002838096642785746
0,15,Female,Latino,0,47,0.0030670173387292807
0,15,Female,Latino,0,48,0.01555785816511822
0,15,Female,Latino,0,49,0.013048768196871419
0,15,Female,Latino,0,50,0.009519949271966404
0,15,Female,Latino,0,51,0.007615614517184551
0,15,Female,Latino,0,53,0.0034313540801000136
0,15,Female,Latino,0,54,0.0034818521939752873
0,15,Female,Latino,0,55,0.0054139979251275
0,15,Female,Latino,0,56,0.004714191561999061
0,15,Female,Latino,1,1,2.8747133652844042e-05
0,15,Female,Latino,1,2,0.0064157883313012394
0,15,Female,Latino,1,4,3.466951593245332e-05
0,15,Female,Latino,1,5,3.408803064061116e-05
0,15,Female,Latino,1,6,2.3412793711034145e-05
0,15,Female,Latino,1,8,4.0999431304620564e-05
0,15,Female,Latino,1,9,3.4761713624888276e-05
0,15,Female,Latino,1,10,1.5041218770800038e-05
0,15,Female,Latino,1,11,0.0002536102971659054
0,15,Female,Latino,1,12,2.9163272372536206e-05
0,15,Female,Latino,1,13,4.3187049620838144e-05
0,15,Female,Latino,1,15,5.5807936602929744e-05
0,15,Female,Latino,1,16,3.135115961611732e-05
0,15,Female,Latino,1,17,7.323805228614328e-05
0,15,Female,Latino,1,18,4.914016001370649e-05
0,15,Female,Latino,1,19,5.0487182950483396e-05
0,15,Female,Latino,1,20,3.3939834830911636e-05
0,15,Female,Latino,1,21,4.781743045262147e-05
0,15,Female,Latino,1,22,5.091332053904882e-05
0,15,Female,Latino,1,23,6.885755882567141e-05
0,15,Female,Latino,1,24,2.5049038260379084e-05
0,15,Female,Latino,1,25,0.00010819356928059392
0,15,Female,Latino,1,26,4.336061116586223e-05
0,15,Female,Latino,1,27,5.080256159345329e-05
0,15,Female,Latino,1,28,8.148639925031773e-05
0,15,Female,Latino,1,29,3.599205936009991e-05
0,15,Female,Latino,1,30,0.00010672966407799912
0,15,Female,Latino,1,31,3.576721238943962e-05
0,15,Female,Latino,1,32,7.972699108631215e-06
0,15,Female,Latino,1,33,8.139743667487182e-05
0,15,Female,Latino,1,34,1.818437936917264e-05
0,15,Female,Latino,1,35,4.124253849380682e-05
0,15,Female,Latino,1,36,0.00010093970865154549
0,15,Female,Latino,1,37,4.837496261825567e-05
0,15,Female,Latino,1,38,9.207354594771103e-05
0,15,Female,Latino,1,39,4.438374756434102e-05
0,15,Female,Latino,1,40,0.00028297059210206254
0,15,Female,Latino,1,41,3.2120280084740723e-05
0,15,Female,Latino,1,42,4.575494322994666e-05
0,15,Female,Latino,1,44,5.7083978946588894e-05
0,15,Female,Latino,1,45,2.8228135061716956e-05
0,15,Female,Latino,1,46,4.2054938622779884e-05
0,15,Female,Latino,1,47,4.213143534930152e-05
0,15,Female,Latino,1,48,0.00017712376725927709
0,15,Female,Latino,1,49,5.915781660882679e-05
0,15,Female,Latino,1,50,9.647600123430521e-05
0,15,Female,Latino,1,51,5.3737881847021327e-05
0,15,Female,Latino,1,53,3.9017122536278754e-05
0,15,Female,Latino,1,54,3.612709315506754e-05
0,15,Female,Latino,1,55,3.336503355589407e-05
0,15,Female,Latino,1,56,4.5379755386864666e-05
0,15,Female,Multiracial or Other,0,1,0.004820088506367119
0,15,Female,Multiracial or Other,0,2,0.011848384046013266
0,15,Female,Multiracial or Other,0,4,0.0085496107562207
0,15,Female,Multiracial or Other,0,5,0.005699181937273537
0,15,Female,Multiracial or Other,0,6,0.007706435638309985
0,15,Female,Multiracial or Other,0,8,0.009742290584066443
0,15,Female,Multiracial or Other,0,9,0.0036436547953647494
0,15,Female,Multiracial or Other,0,10,0.0028988244560386955
0,15,Female,Multiracial or Other,0,11,0.04823530114049044
0,15,Female,Multiracial or Other,0,12,0.003923995607336129
0,15,Female,Multiracial or Other,0,13,0.01846579598344257
0,15,Female,Multiracial or Other,0,15,0.006801786110621748
0,15,Female,Multiracial or Other,0,16,0.008016951360000132
0,15,Female,Multiracial or Other,0,17,0.018663747371847953
0,15,Female,Multiracial or Other,0,18,0.007925634269503677
0,15,Female,Multiracial or Other,0,19,0.009548375472770782
0,15,Female,Multiracial or Other,0,20,0.0064526368169313215
0,15,Female,Multiracial or Other,0,21,0.006433356029629736
0,15,Female,Multiracial or Other,0,22,0.008620629466923711
0,15,Female,Multiracial or Other,0,23,0.008421847893333471
0,15,Female,Multiracial or Other,0,24,0.0031883787947431822
0,15,Female,Multiracial or Other,0,25,0.007776757380581196
0,15,Female,Multiracial or Other,0,26,0.00448434526086396
0,15,Female,Multiracial or Other,0,27,0.006564849273676469
0,15,Female,Multiracial or Other,0,28,0.012161686740943886
0,15,Female,Multiracial or Other,0,29,0.0050644896115316146
0,15,Female,Multiracial or Other,0,30,0.018554383640000307
0,15,Female,Multiracial or Other,0,31,0.007677492650235815
0,15,Female,Multiracial or Other,0,32,0.0016631233949821061
0,15,Female,Multiracial or Other,0,33,0.01207637348068088
0,15,Female,Multiracial or Other,0,34,0.002524710326086251
0,15,Female,Multiracial or Other,0,35,0.019093650248366328
0,15,Female,Multiracial or Other,0,36,0.021740043603127528
0,15,Female,Multiracial or Other,0,37,0.008072366934419683
0,15,Female,Multiracial or Other,0,38,0.014346039916340106
0,15,Female,Multiracial or Other,0,39,0.005907730853445948
0,15,Female,Multiracial or Other,0,40,0.005932998562929617
0,15,Female,Multiracial or Other,0,41,0.005929775036559237
0,15,Female,Multiracial or Other,0,42,0.006835216528970801
0,15,Female,Multiracial or Other,0,44,0.007408106943209998
0,15,Female,Multiracial or Other,0,45,0.004348410453657373
0,15,Female,Multiracial or Other,0,46,0.006640303146666776
0,15,Female,Multiracial or Other,0,47,0.005418391177013874
0,15,Female,Multiracial or Other,0,48,0.009057667273648639
0,15,Female,Multiracial or Other,0,49,0.007961331190530128
0,15,Female,Multiracial or Other,0,50,0.012344524069841472
0,15,Female,Multiracial or Other,0,51,0.09706520923930662
0,15,Female,Multiracial or Other,0,53,0.004438987223626941
0,15,Female,Multiracial or Other,0,54,0.00731614930985337
0,15,Female,Multiracial or Other,0,55,0.005372887720536188
0,15,Female,Multiracial or Other,0,56,0.0074310422588236506
0,15,Female,Multiracial or Other,1,1,1.1611308448226248e-05
0,15,Female,Multiracial or Other,1,2,1.848082656961423e-05
0,15,Female,Multiracial or Other,1,4,2.8368849084163717e-05
0,15,Female,Multiracial or Other,1,5,1.3980491190792618e-05
0,15,Female,Multiracial or Other,1,6,1.993114966465355e-05
0,15,Female,Multiracial or Other,1,8,2.5439975040571278e-05
0,15,Female,Multiracial or Other,1,9,2.165741786387829e-05
0,15,Female,Multiracial or Other,1,10,2.0829659411687453e-06
0,15,Female,Multiracial or Other,1,11,0.00010773133178280327
0,15,Female,Multiracial or Other,1,12,1.818133356584446e-05
0,15,Female,Multiracial or Other,1,13,2.037196186290823e-05
0,15,Female,Multiracial or Other,1,15,1.067616612579217e-05
0,15,Female,Multiracial or Other,1,16,1.730327065527094e-05
0,15,Female,Multiracial or Other,1,17,1.8846891356992183e-05
0,15,Female,Multiracial or Other,1,18,2.128444985193188e-05
0,15,Female,Multiracial or Other,1,19,1.757747549079163e-05
0,15,Female,Multiracial or Other,1,20,1.5780480508155798e-05
0,15,Female,Multiracial or Other,1,21,1.9374611084077093e-05
0,15,Female,Multiracial or Other,1,22,1.97649563326296e-05
0,15,Female,Multiracial or Other,1,23,2.523206503760905e-05
0,15,Female,Multiracial or Other,1,24,1.0104827047798387e-05
0,15,Female,Multiracial or Other,1,25,4.628363129989828e-05
0,15,Female,Multiracial or Other,1,26,1.6029505577922564e-05
0,15,Female,Multiracial or Other,1,27,1.7400332420808612e-05
0,15,Female,Multiracial or Other,1,28,2.248464303004451e-05
0,15,Female,Multiracial or Other,1,29,1.4399139572261613e-05
0,15,Female,Multiracial or Other,1,30,3.503040334463913e-05
0,15,Female,Multiracial or Other,1,31,1.660857611779931e-05
0,15,Female,Multiracial or Other,1,32,4.500355505991177e-06
0,15,Female,Multiracial or Other,1,33,2.9443277023477053e-05
0,15,Female,Multiracial or Other,1,34,1.0021604296036094e-05
0,15,Female,Multiracial or Other,1,35,5.67667476256568e-05
0,15,Female,Multiracial or Other,1,36,3.50355944348322e-05
0,15,Female,Multiracial or Other,1,37,0.0006551116345823928
0,15,Female,Multiracial or Other,1,38,2.6999801924933566e-05
0,15,Female,Multiracial or Other,1,39,1.3700060489367995e-05
0,15,Female,Multiracial or Other,1,40,1.3654503975656507e-05
0,15,Female,Multiracial or Other,1,41,1.2963439259890964e-05
0,15,Female,Multiracial or Other,1,42,1.946892136473715e-05
0,15,Female,Multiracial or Other,1,44,3.390437960279175e-05
0,15,Female,Multiracial or Other,1,45,1.0659310090250214e-05
0,15,Female,Multiracial or Other,1,46,1.5167941598828383e-05
